Country Name,Country Code,Series Name,Series Code,2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Viet Nam,VNM,"Educational attainment, at least completed primary, population 25+ years, male (%) (cumulative)",SE.PRM.CUAT.MA.ZS,83.8896543902345,84.3035295409816,84.3113962932215,84.6217107716838,84.6421441086294,85.6783856493076,85.584174211554,85.6628362417358,91.1500015258789,87.5361318677378,89.0139701428895,90.1800003051758,90.3489267044393
Viet Nam,VNM,"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",SE.PRM.CUAT.ZS,78.655569754183,79.1305519146926,79.3005628748296,79.7824987617283,80.2082485074297,81.437784564216,81.3865469394437,81.3454084497002,88.629997253418,83.5403619254859,85.5901323251669,87.2300033569336,87.5381163091741
Viet Nam,VNM,"Educational attainment, at least completed short-cycle tertiary, population 25+, female (%) (cumulative)",SE.TER.CUAT.ST.FE.ZS,7.18601359960567,7.48430431864468,8.12581605096981,8.71665134080106,9.72538939456427,10.5491984656473,11.0782462709106,11.565838722179,12.960000038147,13.2101402566793,13.0668733378379,13.4615796940935,14.6369992527628
Viet Nam,VNM,"Educational attainment, at least completed short-cycle tertiary, population 25+, male (%) (cumulative)",SE.TER.CUAT.ST.MA.ZS,9.42930068033275,9.75734658509398,10.1972060823791,10.909345505021,11.2816019081184,11.9444903777669,12.4192104807769,12.5352211611074,14.1099996566772,14.1834651656733,13.6999144540747,13.8439202522605,15.0721170793008
Viet Nam,VNM,"Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)",SE.TER.CUAT.ST.ZS,8.25768918152914,8.56743219033741,9.1123317506826,9.75982657664849,10.4668633050632,11.2153894844858,11.7225687327882,12.0348956584879,13.5200004577637,13.68091165921,13.3732328433503,13.6453872287959,14.847107507825
Viet Nam,VNM,"Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)",SE.PRM.CUAT.FE.ZS,73.8679411726052,74.421812974004,74.7440297433297,75.3909693965284,76.1730672875426,77.563080276512,77.5041704585355,..,86.2699966430664,79.7972894054232,82.3792835159362,84.4800033569336,84.9134525511569
Viet Nam,VNM,"Educational attainment, at least completed upper secondary, population 25+, female (%) (cumulative)",SE.SEC.CUAT.UP.FE.ZS,22.2025238954296,22.5526498806802,23.3518307181992,24.5620885763647,25.2236283081355,26.3637495397302,27.4892607423292,27.6463446513605,29.5300006866455,31.6304820981632,32.5621276790203,37.7599983215332,35.0860484519509
Viet Nam,VNM,"Educational attainment, at least completed upper secondary, population 25+, male (%) (cumulative)",SE.SEC.CUAT.UP.MA.ZS,31.4381563118753,32.4509319312942,33.4019560892678,33.9823477588275,31.2933310741711,32.470189632951,33.3941298214581,33.8992475243243,34.4900016784668,41.0999418488394,41.551474669749,46.4099998474121,44.1747201657147
Viet Nam,VNM,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.UP.ZS,26.6146215842897,27.2692824436299,28.1382815132216,29.043781123718,28.1156023838483,29.2793082925931,30.3265025972093,30.6719487337608,31.9300003051758,36.2106082275165,36.9125116087881,41.9199981689453,39.4747561493698
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,
Last Updated: 02/24/2026,,,,,,,,,,,,,,,,
